,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
33,20170615,I888,429.5,436.5,438.0,423.0,2641944.0,-0.264873755649603,48.25507656458622,-72.79279279279247,5.2237034630276815,7.367023810365799
34,20170615,J888,1125.0,1122.0,1139.0,1099.5,237828.0,9.933383449484609,71.83405367294779,180.1169590643278,49.24010950724265,7.367023810365799
35,20170615,RB888,2223.0,2192.0,2236.0,2135.0,8854462.0,5.600652799152158,54.65706463933689,82.41242325749346,9.062004035564879,7.367023810365799
36,20170616,I888,433.0,431.5,442.5,428.5,2911200.0,-0.25577166973306475,50.744138421936654,5.0110132158591085,7.209111728207783,7.253181782066076
37,20170616,J888,1154.0,1122.0,1165.5,1111.0,211488.0,13.638182472064273,75.647452323414,177.67835253738627,58.88449393412202,7.253181782066076
38,20170616,RB888,2203.0,2217.0,2268.0,2187.0,7986648.0,8.619928097095453,52.305762346654205,97.41057389937134,2.049584788113075,7.253181782066076
39,20170619,I888,439.0,434.5,446.0,432.0,2370300.0,0.10210032912402767,54.61564968195797,77.7777777777777,15.509231889450689,11.035462290046935
40,20170619,J888,1205.5,1153.0,1233.0,1146.0,276370.0,19.218885181549695,80.49807802578742,199.89318806910674,72.90289169574442,11.035462290046935
41,20170619,RB888,2252.0,2212.0,2297.0,2205.0,7269176.0,13.607793388222944,56.99469053515399,117.43169398907125,10.848756803458194,11.035462290046935
42,20170620,I888,437.0,439.0,444.0,434.5,2003558.0,0.2520036503225356,53.174438828554926,63.680192848532826,15.509231889450678,5.3541301366073135
43,20170620,J888,1201.5,1212.5,1230.5,1194.5,215918.0,22.94499221621936,79.23007742063831,172.6294357184405,72.90289169574442,5.3541301366073135
44,20170620,RB888,2221.0,2256.0,2262.0,2196.0,6469594.0,15.356180566287094,53.54921143005604,80.5715419726138,7.640856384117253,5.3541301366073135
45,20170621,I888,440.0,435.5,440.0,426.0,2135430.0,0.5445309624215042,55.01639459490591,6.387225548901837,7.461709474798685,7.029266049577845
46,20170621,J888,1218.5,1198.0,1227.5,1190.5,239622.0,26.514990027570775,80.57531827449633,145.93638516653166,69.00108419179254,7.029266049577845
47,20170621,RB888,2181.0,2211.0,2212.0,2146.0,6953398.0,14.063848691214844,49.55080029632395,27.68933912204518,8.14549307956099,7.029266049577845
48,20170622,I888,432.0,441.5,445.0,431.5,2221854.0,0.2657898192672974,49.6307349799153,21.922855497985527,4.482558855515966,11.460281289111727
49,20170622,J888,1234.5,1225.0,1268.0,1216.0,256302.0,29.8987149726986,81.72759103476986,148.37114910386643,75.08612609062212,11.460281289111727
50,20170622,RB888,2143.0,2191.0,2235.0,2142.0,8068116.0,10.55212130725522,46.1633091886356,19.997769972682118,0.8711611209587893,11.460281289111727
51,20170623,I888,440.5,434.0,441.0,432.0,1695332.0,0.5849801036092686,54.52382188988175,52.90806754221342,4.482558855515953,4.320865822811708
52,20170623,J888,1248.5,1234.0,1259.0,1221.0,221078.0,33.00575621200369,82.6587281540932,130.57432918236464,75.08612609062214,4.320865822811708
53,20170623,RB888,2216.0,2149.0,2222.0,2146.0,6795422.0,12.33580567856552,52.60268472866855,44.190301921317534,0.8711611209587871,4.320865822811708
54,20170626,I888,439.5,440.5,441.0,434.0,1646854.0,0.7590168178228964,53.886727969367016,57.18341851220997,4.482558855515958,3.5785700960705795
55,20170626,J888,1247.0,1253.5,1255.0,1230.0,180846.0,34.89586766906723,82.19448342283512,116.82037768994294,75.08612609062212,3.5785700960705795
56,20170626,RB888,2260.0,2217.0,2261.0,2200.0,6297226.0,16.379088706831226,55.89221381082657,93.96167858588588,10.759652737023224,3.5785700960705795
